radical,pinyin,vietnamese_meaning,sino_vietnamese,thai_meaning_pronunciation,burmese_meaning_pronunciation,french_meaning_pronunciation,english,examples
禸,róu,Vết chân,Nhựu,รอยเท้าสัตว์ (Raany-tháao-sàt),ခြေရာ (Chay-yar),Trace (Tras),Track,"禹, 禺, 禽"
禾,hé,Lúa,Hòa,ข้าว (Khâao),စပါး (Sa-par),Céréale (Sereal),Grain,"私, 秋, 科"
穴,xué,Hang động,Huyệt,ถ้ำ (Thâm),တွင်း (Twin),Grotte (Grɔt),Cave,"空, 穿, 突"
立,lì,Đứng,Lập,ยืน (Yuuen),မတ်ตပ်ရပ် (Mat-tat-yat),Debout (Debu),Stand,"站, 豎, 章"
竹,zhú,Tre,Trúc,ไม้ไผ่ (Mâai-phài),ဝါး (War),Bambou (Bãbu),Bamboo,"笑, 筆, 笛"
米,mǐ,Gạo,Mễ,ข้าวสาร (Khâao-sǎan),ဆန် (Sane),Riz (Ri),Rice,"粉, 粗, 粘"
糸,mì,Sợi tơ,Mịch,ใยไหม (Yai-mǎi),ပိုးချည် (Poe-chi),Soie (Swa),Silk,"系, 紊, 素"
缶,fǒu,Chậu đất,Phẫu,หม้อดิน (Mâw-din),အိုး (Oh),Jarre (Zhar),Jar/Pottery,"缺, 罐, 罎"
网,wǎng,Cái lưới,Võng,ร่างแห (Râang-hae),ပိုက်ကွန် (Pike-kun),Filet (Filè),Net,"罕, 羅, 罰"
羊,yáng,Con dê,Dương,แกะ (Kae),သိုး (Thoe),Mouton (Mutõ),Sheep,"美, 羔, 羞"
羽,yǔ,Lông vũ,Vũ,ขนนก (Khon-nók),အမွှေးအတောင် (A-hmway-a-taung),Plume (Ply m),Feather,"翁, 翅, 翌"
老,lǎo,Già,Lão,แก่ (Kae),အိုမင်းသော (Oh-min-thaw),Vieux (Vjø),Old,"考, 耄, 者"
而,ér,Mà/Lại,Nhi,และ (Láe),ထို့နောက် (Hto-nauk),Et/Pourtant (E/Purtã),And/But,"耍, 耎, 耑"
耒,lěi,Cái cày,Lỗi,คันไถ (Khon-thǎi),ထွန် (Htun),Charrue (Shary),Plow,"耔, 耕, 耗"
耳,ěr,Tai,Nhĩ,หู (Hǔu),နား (Nar),Oreille (Orɛj),Ear,"耶, 耽, 聊"
聿,yù,Cây bút,Duật,พู่กัน (Phûu-kan),စုတ်ตံ (Soke-tan),Pinceau (Pɛ̃so),Brush,"肅, 肆, 肇"
肉,ròu,Thịt,Nhục,เนื้อ (Núuea),အသား (A-thar),Viande (Vjãd),Meat,"肖, 肚, 肯"
臣,chén,Bề tôi,Thần,ข้ารับใช้ (Khâa-ráp-chái),အမတ် (A-mat),Ministre (Ministr),Minister,"臥, 臨, 臧"
自,zì,Tự mình,Tự,ตัวเอง (Tuua-eeng),မိမိ (Mi-mi),Soi-même (Swa-mɛm),Self,"臭, 臬, 皋"
至,zhì,Đến,Chí,ถึง (Thǔng),ရောက်ရှိ (Yauk-shi),Arriver (Arivè),Arrive,"致, 臺, 臻"
臼,jiù,Cái cối,Cữu,ครก (Khrók),ဆုံ (Sone),Mortier (Mortjè),Mortar,"臾, 舀, 舅"
舌,shé,Cái lưỡi,Thiệt,ลิ้น (Lín),လျှာ (Shar),Langue (Lãg),Tongue,"舍, 舐, 舒"
舛,chuǎn,Sai lệch,Suyễn,ขัดแย้ง (Khàt-yáeng),ဆန့်ကျင်ဘက် (Sany-kyin-bet),Opposé (Opozè),Oppose,"舜, 舞, 舝"
舟,zhōu,Cái thuyền,Chu,เรือ (Ruea),လှေ (Hlay),Bateau (Bato),Boat,"航, 般, 船"
艮,gèn,Dừng lại,Cấn,หยุด (Yùt),ရပ်တန့် (Yat-tant),Arrêt (Arɛ),Still/Bound,"良, 艱, 旣"
色,sè,Màu sắc,Sắc,สี (Sǐi),အရောင် (A-yaung),Couleur (Kulœr),Color,"艷, 艴, 艵"
艸,cǎo,Cỏ,Thảo,หญ้า (Yâa),မြက် (Myet),Herbe (Ɛrb),Grass,"苗, 芝, 花"
虍,hū,Vằn hổ,Hổ,ลายเสือ (Laai-sǔuea),ကျား (Kyar),Tigre (Tigr),Tiger,"虎, 處, 虐"
虫,chóng,Sâu bọ,Trùng,แมลง (Ma-laeng),အင်းဆက် (In-set),Insecte (Ɛ̃sɛkt),Insect,"蟲, 虹, 蝦"
血,xuè,Máu,Huyết,เลือด (Lʉ̂eat),သွေး (Thway),Sang (Sã),Blood,"衄, 衆, 衊"
行,xíng,Đi/Hàng,Hành,เดิน (Deen),လျှောက် (Shauk),Marcher (Marshè),Walk/Run,"衍, 術, 街"
衣,yī,Áo,Y,เสื้อผ้า (Sʉ̂uea-phâa),အဝတ်အစား (A-wut-a-sar),Vêtements (Vɛtmã),Clothes,"裝, 補, 製"
襾,yà,Che đậy,Á,ปกคลุม (Pòk-khlum),အဖုံး (A-pone),Couvrir (Kuvrir),Cover,"西, 要, 覆"
見,jiàn,Nhìn,Kiến,เห็น (Hěn),မြင် (Myin),Voir (Vwar),See,"觀, 規, 視"
角,jiǎo,Sừng,Giác,เขาสัตว์ (Khǎo-sàt),ဂျို (Gyo),Corne (Kɔrn),Horn,"解, 觸, 觴"
言,yán,Lời nói,Ngôn,คำพูด (Kham-phûut),စကား (Sa-gar),Parole (Parɔl),Speech,"計, 訂, 設"
谷,gǔ,Thung lũng,Cốc,หุบเขา (Hùp-khǎo),ချိုင့်ဝှမ်း (Chaint-hwun),Vallée (Valè),Valley,"豁, 谿, 豀"
豆,dòu,Hạt đậu,Đậu,ถั่ว (Thùua),ပဲ (Pè),Haricot (Ariko),Bean,"豈, 豉, 豌"
豕,shǐ,Con lợn,Thỉ,หมู (Mǔu),ဝက် (Wet),Porc (Pɔr),Pig,"象, 豪, 豫"
豸,zhì,Loài thú,Trãi,สัตว์ร้าย (Sàt-ráai),သားရဲ (Thar-ye),Félin (Felɛ̃),Feline,"豹, 豺, 貌"
貝,bèi,Vỏ sò,Bối,เปลือกหอย (Plʉ̀uak-hǎany),ခရုခွံ (Kha-yu-khon),Coquillage (Kokijazh),Shell,"貞, 負, 貢"
赤,chì,Màu đỏ,Xích,แดง (Daeang),အနီရောင် (A-nee-yaung),Rouge (Ruzh),Red,"赦, 赧, 赫"
走,zǒu,Chạy,Tẩu,วิ่ง (Wîng),ပြေး (Pyay),Courir (Kurir),Run,"赴, 起, 越"
足,zú,Cái chân,Túc,เท้า (Tháao),ခြေထောက် (Chay-tauk),Pied (Pjè),Foot,"距, 跨, 踏"
身,shēn,Thân thể,Thân,ร่างกาย (Râang-kaay),ခန္ဓာကိုယ် (Khun-dar-ko),Corps (Kɔr),Body,"躬, 躲, 躺"
車,chē,Xe,Xa,รถ (Rót),လှည်း (Hlay),Voiture (Vwaty r),Cart/Car,"軌, 軍, 輪"
辛,xīn,Cay/Khổ,Tân,เผ็ด (Phèt),စပ်သော (Sut-thaw),Amer (Amɛr),Bitter/Pungent,"辜, 辭, 辟"
辰,chén,Giờ/Rồng,Thần,เวลา (Way-laa),အချိန် (A-chain),Temps (Tã),Morning/Time,"辱, 農, 蜃"
辵,chuò,Chạy/Đi,Sách,เดิน (Deen),လမ်းလျှောက် (Lan-shauk),Marcher (Marshè),Walk,"邊, 這, 進"
邑,yì,Thành phố,Ấp,เมือง (Muueang),မြို့ (Myo),Ville (Vil),City,"那, 邦, 郎"
酉,yǒu,Rượu,Dậu,เหล้า (Lâo),ဝိုင် (Wine),Alcool (Alkol),Wine/Alcohol,"酌, 配, 酒"
采,cǎi,Hái/Lượm,Thải,เก็บเกี่ยว (Kèp-kìao),ခူးဆွတ် (Khu-sut),Cueillir (Kœjir),Gather,"釋, 釉, 釋"
里,lǐ,Dặm/Làng,Lý,หมู่บ้าน (Mùu-bâan),ရွာ (Ywar),Village (Vilazh),Village/Mile,"野, 量, 厘"
金,jīn,Vàng,Kim,ทอง (Thong),ရွှေ (Shway),Or (Ɔr),Gold,"銀, 銅, 釘"
長,cháng,Dài,Trường,ยาว (Yaaw),ရှည်သော (Shay-thaw),Long (Lõ),Long,"镸, 髟, 長"
門,mén,Cửa,Môn,ประตู (Pra-tuu),တံခါး (Ta-gar),Porte (Pɔrt),Gate/Door,"閉, 問, 閑"
阜,fù,Gò đất,Phụ,เนินเขา (Noon-khǎo),ကုန်း (Kone),Monticule (Mõtikyl),Mound/Dam,"阿, 阻, 附"
隶,lì,Nô lệ,Lệ,ข้ารับใช้ (Khâa-ráp-chái),ကျွန် (Kyune),Esclave (Esklav),Slave,"隶, 肄, 肅"
隹,zhuī,Chim đuôi ngắn,Chuy,นก (Nók),ငှက် (Hnget),Oiseau (Wazo),Short-tailed bird,"雅, 難, 雁"
雨,yǔ,Mưa,Vũ,ฝน (Fǒn),မိုး (Moe),Pluie (Plɥi),Rain,"雪, 零, 雷"
靑,qīng,Xanh,Thanh,สีเขียว (Sǐi-khǐao),အပြာရောင် (A-pyar-yaung),Bleu/Vert (Blø/Vɛr),Blue/Green,"靖, 靛, 靜"
非,fēi,Sai/Không,Phi,ไม่ใช่ (Mâi-châi),မဟုတ်သော (Ma-hoke-thaw),Non (Nõ),Wrong/Non,"靠, 靡, 輩"
面,miàn,Mặt,Diện,หน้า (Nâa),မျက်နှာ (Myet-hnar),Visage (Vizazh),Face,"靨, 靦, 面"
革,gé,Da thú,Cách,หนัง (Nǎng),သားရေ (Thar-yay),Cuir (Kɥir),Leather,"鞋, 鞭, 靶"
韋,wéi,Da mềm,Vi,หนังนุ่ม (Nǎng-nûm),သားရေနု (Thar-yay-nu),Cuir souple (Kɥir supl),Soft leather,"韌, 韓, 韜"
韭,jiǔ,Hẹ,Cửu,กุ้ยช่าย (Kûy-châai),ကုလားပဲ (Ka-lar-pè),Poireau (Pwaro),Leek,"韮, 韱, 韭"
音,yīn,Âm thanh,Âm,เสียง (Sǐiang),အသံ (A-than),Son (Sõ),Sound,"韻, 韶, 響"
頁,yè,Trang giấy,Hiệt,หน้ากระดาษ (Nâa-kra-dàat),စာမျက်နှာ (Sar-myet-hnar),Page (Pazh),Leaf/Page,"頂, 順, 顧"
風,fēng,Gió,Phong,ลม (Lom),လေ (Lay),Vent (Vã),Wind,"颯, 飄, 飆"
飛,fēi,Bay,Phi,บิน (Bin),ပျံ (Pyan),Voler (Volè),Fly,"飛, 飜, 飝"
食,shí,Ăn,Thực,กิน (Kin),စား (Sar),Manger (Mãzhè),Eat/Food,"飯, 飲, 餃"
首,shǒu,Đầu,Thủ,หัว (Hǔua),ဦးခေါင်း (U-gaung),Tête (Tɛt),Head,"馗, 馘, 首"
香,xiāng,Thơm,Hương,หอม (Hǎawm),မွှေးသော (Hmway-thaw),Parfum (Parfɛ̃),Fragrant,"馨, 馥, 馝"
馬,mǎ,Ngựa,Mã,ม้า (Máa),မြင်း (Myin),Cheval (Sheval),Horse,"馭, 馱, 馴"
骨,gǔ,Xương,Cốt,กระดูก (Kra-dùuk),အရိုး (A-yo),Os (Os),Bone,"骰, 骸, 骼"
高,gāo,Cao,Cao,สูง (Sǔung),မြင့်သော (Myint-thaw),Haut (O),High,"敲, 髚, 髛"
髟,biāo,Tóc dài,Bưu,ผมยาว (Phǒm-yaaw),ဆံပင် (Sane-pin),Cheveux (Shevø),Hair,"髮, 髻, 髭"
鬥,dòu,Chiến đấu,Đấu,ต่อสู้ (Tàaw-sûu),တိုက်ခိုက် (Taik-khaik),Lutte (Lyt),Fight,"鬧, 鬮, 鬩"
鬯,chàng,Rượu tế,Sưởng,เหล้าบูชา (Lâo-buu-chaa),ယဇ်ဝိုင် (Yit-wine),Vin sacrificiel (Vɛ̃ sakrifisjɛl),Sacrificial wine,"鬰, 鬯, 鬱"
鬲,lì,Nồi ba chân,Cách,หม้อสามขา (Mâw-sǎam-khǎa),အိုး (Oh),Chaudron (Shodrõ),Tripod/Cauldron,"融, 粥, 鬳"
鬼,guǐ,Ma quỷ,Quỷ,ผี (Phǐi),သရဲ (Tha-ye),Fantôme (Fãtom),Ghost,"魂, 魄, 魅"
魚,yú,Cá,Ngư,ปลา (Plaa),ငါး (Ngar),Poisson (Pwasõ),Fish,"魷, 魯, 鮮"
鳥,niǎo,Chim,Điểu,นก (Nók),ငှက် (Hnget),Oiseau (Wazo),Bird,"鳩, 雞, 鴨"
鹵,lǔ,Muối/Đất mặn,Lỗ,เกลือ (Klʉua),ซား (Sar),Sel (Sɛl),Salt,"鹽, 鹼, 鹾"
鹿,lù,Con hươu,Lộc,กวาง (Kwaang),သမင် (Tha-min),Cerf (Sɛr),Deer,"麒, 麟, 麝"
麥,mài,Lúa mạch,Mạch,ข้าวสาลี (Khâao-sǎa-lii),ဂျုံ (Gyone),Blé (Blè),Wheat,"麵, 麩, 麴"
麻,má,Cây gai,Ma,ป่าน (Pàan),ပိုက်ဆံလျှော် (Paik-sane-shaw),Chanvre (Shãvr),Hemp,"磨, 靡, 麾"
黃,huáng,Màu vàng,Hoàng,สีเหลือง (Sǐi-lʉ̌uang),အဝါရောင် (A-war-yaung),Jaune (Zhon),Yellow,"黌, 黍, 黎"
黍,shǔ,Lúa nếp,Thử,ข้าวเหนียว (Khâao-nǐao),ကောက်ညှင်း (Kauk-hnyin),Millet (Mijè),Millet,"黏, 黐, 黎"
黑,hēi,Màu đen,Hắc,สีดำ (Sǐi-dam),အမည်းရောင် (A-mye-yaung),Noir (Nwar),Black,"默, 黛, 黠"
黹,zhǐ,May thêu,Chỉ,เย็บปัก (Yép-pàk),ပန်းထိုး (Pan-htoe),Broderie (Brodri),Embroidery,"黻, 黼, 黹"
黽,mǐn,Con ếch,Mẫn,กบ (Kòp),ဖား (Hpar),Grenouille (Grenuj),Frog/Toad,"黿, 鼉, 黽"
鼎,dǐng,Cái đỉnh,Đỉnh,กระถาง (Kra-thǎang),ကျောက်ပန်းกัน (Kyauk-pan-gan),Trépied (Trepjè),Tripod,"鼐, 鼒, 鼎"
鼓,gǔ,Cái trống,Cổ,กลอง (Klaawng),ဗုံ (Bone),Tambour (Tãbur),Drum,"鼙, 鼗, 鼓"
鼠,shǔ,Con chuột,Thử,หนู (Nǔu),ကြွက် (Kyet),Souris (Suri),Rat/Mouse,"鼬, 鼢, 鼷"
鼻,bí,Mũi,Tị,จมูก (Cha-mùuk),နှာခေါင်း (Hnar-gaung),Nez (Ne),Nose,"鼾, 齄, 齇"
齊,qí,Đều nhau,Tề,เท่ากัน (Thâo-kan),ညီတူညီမျှ (Nyee-tu-nyee-hmyar),Égal (Egal),Even/Uniform,"齋, 齏, 齊"
齒,chǐ,Răng,Sỉ,ฟัน (Fan),သွား (Thwar),Dent (Dã),Tooth,"齲, 齦, 齙"
龍,lóng,Con rồng,Long,มังกร (Mang-kaawn),နဂါး (Na-gar),Dragon (Dragõ),Dragon,"龔, 龕, 龘"
龜,guī,Con rùa,Quy,เต่า (Tào),လိပ် (Leik),Tortue (Torty),Turtle,"龝, 龞, 龜"
龠,yuè,Sáo ba lỗ,Yược,ขลุ่ย (Khlùy),ပုလွေ (Pa-lway),Flûte (Flyt),Flute,"龢, 龤, 龠"

