中文,拼音,越南語,泰語(音標),緬甸語(音標),英語,法語
計程車,jìchéngchē,Xe taxi,"แท็กซี่ (tɛ́k-sîi)","တက္ကစီ (te’ kǎ si)",Taxi,Taxi
位於,wèiyú,Nằm ở / Tọa lạc,"ตั้งอยู่ที่ (tâng-yùu-thîi)","တည်ရှိသည် (tì-shì-thi)",To be located at,Situé à
馬路,mǎlù,Đường lộ,ถนน (thà-nǒn),လမ်း (làn),Road / Street,Route
旁（邊）,páng (biān),Bên cạnh,ข้างๆ (khâang-khâang),ဘေး (bé),Beside / Side,À côté de
層樓,cénglóu,Tầng / Lầu,ชั้น (chán),အထပ် (ǎ hta’),Storey / Floor,Étage
住宅,zhùzhái,Nơi cư trú,"ที่อยู่อาศัย (thîi-yùu-aa-sǎi)",နေအိမ် (nay-ein),Residence / Dwelling,Résidence
修理,xiūlǐ,Sửa chữa,ซ่อมแซม (sôm-sɛɛm),ပြုပြင်သည် (pyu-pyin-thi),To repair / To fix,Réparer
鐘錶,zhōngbiǎo,Đồng hồ,นาฬิกา (naa-lí-kaa),နာရီ (naryi),Clocks and watches,Horlogerie
客廳,kètīng,Phòng khách,ห้องรับแขก (hông-ráp-khɛ̀ɛk),ဧည့်ခန်း (è-gàn),Living room,Salon
廚房,chúfáng,Nhà bếp,ห้องครัว (hông-khrua),မီးဖိုချောင် (mi-bo-gyaun),Kitchen,Cuisine
外觀,wàiguān,Ngoại quan,"รูปลักษณ์ภายนอก (rûup-lák-phaai-nôok)","အပြင်ပန်းသဏ္ဌာန် (ǎpyin-ban-than-htan)",Appearance / Exterior,"Apparence / Extérieur"
樸素,púsù,Giản dị,เรียบง่าย (rîap-ngâai),ရိုးရိုးရှင်းရှင်း (yo-yo-shin-shin),Simple / Plain,"Sobre / Simple"
白漆,báiqī,Sơn trắng,สีขาว (sǐi-khǎao),အဖြူရောင်ဆေး (ǎhpyu-yaung-say),White paint,Peinture blanche
一群人,yīqún rén,Một nhóm người,กลุ่มคน (klùm-khon),လူတစ်စု (lu-tǎ-su),A group of people,Un groupe de personnes
迎接,yíngjiē,Đón tiếp,ต้อนรับ (tôon-ráp),ကြိုဆိုသည် (kyo-so-thi),To welcome / To greet,Accueillir
曾經,céngjīng,Đã từng,เคย (khəəi),ဖူးသည် (phu-thi),Once / Previously,"Autrefois / Déjà"
寄照片,jì zhàopiàn,Gửi ảnh,ส่งรูปถ่าย (sòng-rûup-thàai),ဓာတ်ပုံပို့သည် (da’ pon po thi),To mail photos,Envoyer des photos
認得,rèndé,Nhận ra,จำได้ (cham-dâai),မှတ်မိသည် (hma’ mi thi),To recognize,Reconnaître
阿嬤,āmā,Bà nội / Bà ngoại,"ย่า (yâa) / ยาย (yaai)",အဘွား (ǎ-pwa),Grandmother,Grand-mère
大姑姑,dà gūgu,Cô cả,ป้า (pâa),အကြီးဆုံးအဒေါ် (ǎ-kyi-zon-ǎ-daw),Eldest paternal aunt,Tante paternelle aînée
似笑非笑,sì xiào fēi xiào,Cười mỉm,"ยิ้มกึ่งไม่ยิ้ม (yím-kùeng-mâi-yím)",ပြုံးယောင်သန်းသည် (pyon-yaung-than-thi),A faint smile / Half-smiling,Un demi-sourire
陌生,mòshēng,Xa lạ,แปลกหน้า (plɛ̀ɛk-nâa),စိမ်းသည် (sein-thi),Strange / Unfamiliar,"Inconnu / Étranger"
尤其是,yóuqí shì,Đặc biệt là,"โดยเฉพาะอย่างยิ่ง (dooy-chà-phɔ́-yàang-yîng)","အထူးသဖြင့် (ǎ-htu-thǎ-hpyin)",Especially / Particularly,"Surtout / Particulièrement"
驚訝,jīngyà,Ngạc nhiên,ประหลาดใจ (prà-làat-chai),အံ့သြသည် (an-aw-thi),Surprised / Amazed,"Surpris / Étonné"
腳,jiǎo,Chân,เท้า (tháao),ခြေထောက် (chay-htauk),Foot / Leg,Pied / Jambe
竟然,jìngrán,Không ngờ,"อย่างไม่น่าเชื่อ (yàang-mâi-nâa-chûua)",မထင်မှတ်ဘဲ (mǎ-htin-hma’ bè),Unexpectedly / To one's surprise,Contre toute attente
枝,zhī,Chiếc (lượng từ),อัน (an),ချောင်း (chaung),Measure word for long objects,Spécificateur
鐵杖,tiězhàng,Gậy sắt,ไม้เท้าเหล็ก (mái-tháao-lèk),သံတောင်ဝှေး (than-taung-way),Iron staff / Iron crutches,Bâton de fer
怯怯,qièqiè,Rụt rè,"กล้าๆ กลัวๆ (klâa-klâa klua-klua)",ကြောက်ရွံ့ရွံ့ (kyauk-ywin-ywin),Timidly / Shyly,Timidement
傻傻地,shǎshǎ de,Khờ khạo,อย่างเซ่อๆ (yàang-sə̂ə-sə̂ə),အူတူတူ (u-tu-tu),Foolishly / Innocently,"Bêtement / Naïvement"
尷尬,gāngà,Lúng túng,เคอะเขิน (khə́-khə̌en),ရှက်ကိုးရှက်ကန်း (she’ ko she’ kan),Awkward / Embarrassed,"Embarrassé / Gêné"
一拐一拐,yī guǎi yī guǎi,Đi khập khiễng,เดินกะเผลก (dəən-kà-phlèek),ထော့နဲ့ထော့နဲ့ (htaw-ne-htaw-ne),Limping / To limp,En boitant
工作檯,gōngzuò tái,Bàn làm việc,โต๊ะทำงาน (tó-tham-ngaan),အလုပ်စားပွဲ (ǎ-lo’ sa-bwé),Workbench,Établi
拉開,lākāi,Kéo ra,ดึงออก (dueng-òok),ဆွဲဖွင့်သည် (swé-hpyin-thi),To pull open,Ouvrir (en tirant)
抽屜,chōuti,Ngăn kéo,ลิ้นชัก (lín-chák),အံဆွဲ (an-swé),Drawer,Tiroir
滴答滴答,dīdā dīdā,Tích tắc,ติ๊กต็อก (tík-tòk),တိခ်တောက် (tei’ tauk),Tick-tock,Tic-tac
聲音,shēngyīn,Âm thanh,เสียง (sǐang),အသံ (ǎ-than),Sound / Voice,Son / Bruit
點頭,diǎntóu,Gật đầu,พยักหน้า (phá-yák-nâa),ခေါင်းညိတ်သည် (gaung-nyeik-thi),To nod,Hocher la tête
只是,zhǐshì,Chỉ là,เพียงแค่ (phiang-khɛ̂ɛ),ရုံသာ (yon-thar),Merely / Just / Only,"Seulement / Simplement"
容易,róngyì,Dễ dàng,ง่าย (ngâai),လွယ်သည် (lway-thi),Easy,Facile
掛,guà,Treo,แขวน (khwɛ̌ɛn),ချိတ်သည် (cheik-thi),To hang,"Accrocher / Suspendre"
耳朵,ěrduo,Tai,หู (hǔu),နား (nar),Ear,Oreille
瘦瘦,shòushòu,Gầy gầy,ผอมๆ (phǒom-phǒom),ပိန်ပိန် (pein-pein),Thin / Skinny,Maigre
灰白,huībái,Xám trắng,ขาวโพลน (khǎao-phloon),ဖြူကျောကျော (hpyu-kyaw-kyaw),Greyish-white,"Grisâtre / Grisonnant"
髮（頭髮）,fà (tóufa),Tóc,ผม (phǒm),ဆံပင် (san-bin),Hair,Cheveux
爬,pá,Bò / Leo,คลาน (khlaan),တွားသည် (twar-thi),To crawl / To climb,Ramper / Grimper
皺紋,zhòuwén,Nếp nhăn,รอยเหี่ยวย่น (rooy-hìiao-yôn),အရေးအကြောင်း (ay-yay-ǎ-kyaung),Wrinkles,Rides
生氣,shēngqì,Tức giận,โกรธ (kròot),စိတ်ဆိုးသည် (seik-so-thi),Angry,En colère
表情,biǎoqíng,Nét mặt,สีหน้า (sǐi-nâa),မျက်နှာအမူအရာ (myet-hna-amu-aya),Expression,Expression
不笑,bùxiào,Không cười,ไม่ยิ้ม (mâi-yím),မပြုံးသည် (mǎ-pyon-thi),Not smiling,Ne pas sourire
緊張,jǐnzhāng,Căng thẳng,ประหม่า (prà-mâa),စိတ်လှုပ်ရှားသည် (seik-hlo’ shar thi),Nervous / Tense,Nerveux / Tendu
結結巴巴,jiéjiébābā,Nói lắp bắp,พูดตะกุกตะกัก (phûut-tà-kùk-tà-kák),ထစ်ထစ်အအ (htit-htit-ǎ-ǎ),Stammering / Stuttering,Bégayer
國語,guóyǔ,Quốc ngữ,ภาษาประจำชาติ (phaa-sǎa-prà-cham-châat),နိုင်ငံတော်ဘာသာ (naing-ngan-daw-bar-thar),Mandarin,Mandarin
不夠用,bù gòu yòng,Không đủ dùng,ไม่พอใช้ (mâi-phɔɔ-chái),မလောက်ငှ (mǎ-lauk-nga),Insufficient / Not enough,Insuffisant
溜出來,liū chū lái,Lẻn ra (tuột ra),หลุดออกมา (lùt-òok-maa),ချော်ထွက်သည် (chaw-htwet-thi),To slip out,S'échapper / Glisser
皺眉頭,zhòu méitóu,Nhíu mày,ขมวดคิ้ว (khà-mùat-khíu),မျက်မှောင်ကြုတ်သည် (myet-hmaung-kyoke-thi),To frown,Froncer les sourcils
靠近,kàojìn,Gần,ใกล้ (klâi),နီးသည် (ni-thi),Near / Close to,Proche / Près de
樓梯,lóutī,Cầu thang,บันได (ban-dai),လှေကား (lay-gar),Stairs,Escalier
睡不著,shuì bù zháo,Không ngủ được,นอนไม่หลับ (noon-mâi-làp),အိပ်မပျော် (eik-mǎ-pyaw),Cannot sleep,Ne pas pouvoir dormir
時鐘,shízhōng,Đồng hồ,นาฬิกา (naa-lí-kaa),နာရီ (naryi),Clock,Horloge
想念,xiǎngniàn,Nhớ nhung,คิดถึง (khít-thǔng),လွမ်းသည် (lwan-thi),To miss (someone/something),Manquer à / Regretter
蟬,chán,Con ve sầu,จักจั่น (chàk-kà-chàn),ပုစဉ်းရင်ကွဲ (pǎ-zin-yin-gwé),Cicada,Cigale
震撼,zhènhàn,Chấn động,สะเทือนใจ (sà-thʉaan-chai),တုန်လှုပ်သည် (ton-hlo’ thi),Shocking / Powerful impact,Bouleversant
好吵,hǎo chǎo,Ồn ào,หนวกหู (nùuak-hǔu),ဆူညံသည် (su-nyan-thi),So noisy,Bruyant
害怕,hàipà,Sợ hãi,กลัว (klua),ကြောက်သည် (kyauk-thi),To be afraid / Scared,Avoir peur
凶,xiōng,Hung dữ,ดุ (dù),ကြမ်းသည် (kyan-thi),Fierce / Mean,Méchant
亂七八糟,luànqībāzāo,Lộn xộn,ยุ่งเหยิง (yûng-yə̌əng),ရှုပ်ယှက်ခတ် (sho’-she’-kha’),Messy / All mixed up,Sens dessus dessous
真正,zhēnzhèng,Thực sự,แท้จริง (thɛ́ɛ-ching),အစစ်အမှန် (ǎ-sit-ǎ-hman),Real / Genuine,Véritable / Réel
感覺,gǎnjué,Cảm giác,ความรู้สึก (khwaam-rúu-sʉ̀k),ခံစားချက် (khan-sar-chet),Feeling / To feel,Sentiment / Sensation
